time,poa_global,poa_direct,poa_diffuse,temp_air,wind_speed
2020-01-01 00:30:00,0.0,0.0,0.0,-2.32,5.45
2020-01-01 01:30:00,0.0,0.0,0.0,-2.39,5.66
2020-01-01 02:30:00,0.0,0.0,0.0,-2.45,5.52
2020-01-01 03:30:00,0.0,0.0,0.0,-2.36,5.52
2020-01-01 04:30:00,0.0,0.0,0.0,-2.41,4.97
2020-01-01 05:30:00,0.0,0.0,0.0,-2.65,5.17
2020-01-01 06:30:00,0.0,0.0,0.0,-3.16,5.03
2020-01-01 07:30:00,0.0,0.0,0.0,-3.37,4.97
2020-01-01 08:30:00,0.0,0.0,0.0,-3.12,4.41
2020-01-01 09:30:00,0.0,0.0,0.0,-2.91,4.41
2020-01-01 10:30:00,0.0,0.0,0.0,-2.93,4.69
2020-01-01 11:30:00,0.0,0.0,0.0,-3.3,4.55
2020-01-01 12:30:00,0.0,0.0,0.0,-3.28,4.48
2020-01-01 13:30:00,192.94,159.63,33.32,-3.4,4.28
2020-01-01 14:30:00,427.91,315.69,112.22,-3.09,3.93
2020-01-01 15:30:00,623.58,451.8,171.78,-2.15,4.83
2020-01-01 16:30:00,789.92,603.91,186.01,-1.14,5.38
2020-01-01 17:30:00,929.51,763.27,166.23,-0.08,5.59
2020-01-01 18:30:00,930.65,787.81,142.85,1.05,5.59
2020-01-01 19:30:00,795.53,661.04,134.48000000000002,2.32,5.31
2020-01-01 20:30:00,599.0,488.49,110.51,3.14,5.24
2020-01-01 21:30:00,304.61,237.47,67.13,3.38,4.62
2020-01-01 22:30:00,0.0,0.0,0.0,2.64,4.21
2020-01-01 23:30:00,0.0,0.0,0.0,1.73,4.21
2020-01-02 00:30:00,0.0,0.0,0.0,1.46,4.76
2020-01-02 01:30:00,0.0,0.0,0.0,1.58,5.38
2020-01-02 02:30:00,0.0,0.0,0.0,1.82,5.86
2020-01-02 03:30:00,0.0,0.0,0.0,2.17,6.28
2020-01-02 04:30:00,0.0,0.0,0.0,2.47,6.48
2020-01-02 05:30:00,0.0,0.0,0.0,2.73,6.41
2020-01-02 06:30:00,0.0,0.0,0.0,2.82,6.41
2020-01-02 07:30:00,0.0,0.0,0.0,2.9,6.14
2020-01-02 08:30:00,0.0,0.0,0.0,2.79,6.21
2020-01-02 09:30:00,0.0,0.0,0.0,2.84,6.28
2020-01-02 10:30:00,0.0,0.0,0.0,2.8,5.86
2020-01-02 11:30:00,0.0,0.0,0.0,2.68,5.59
2020-01-02 12:30:00,0.0,0.0,0.0,2.61,5.52
2020-01-02 13:30:00,232.92,199.39,33.519999999999996,2.54,5.52
2020-01-02 14:30:00,477.88,376.44,101.44,3.14,5.59
2020-01-02 15:30:00,613.49,452.31,161.17,4.55,5.31
2020-01-02 16:30:00,495.5,270.37,225.13000000000002,6.11,5.66
2020-01-02 17:30:00,432.58,193.92,238.66,7.19,6.34
2020-01-02 18:30:00,627.63,401.47,226.15,8.01,6.48
2020-01-02 19:30:00,383.37,186.85,196.52,9.25,6.97
2020-01-02 20:30:00,200.65,91.92,108.74,9.53,6.41
2020-01-02 21:30:00,50.04,14.39,35.65,9.34,5.93
2020-01-02 22:30:00,0.0,0.0,0.0,8.83,5.59
2020-01-02 23:30:00,0.0,0.0,0.0,8.32,5.31
2020-01-03 00:30:00,0.0,0.0,0.0,8.28,5.03
2020-01-03 01:30:00,0.0,0.0,0.0,8.14,4.55
2020-01-03 02:30:00,0.0,0.0,0.0,8.02,4.07
2020-01-03 03:30:00,0.0,0.0,0.0,7.89,4.14
2020-01-03 04:30:00,0.0,0.0,0.0,7.77,3.93
2020-01-03 05:30:00,0.0,0.0,0.0,7.69,3.66
2020-01-03 06:30:00,0.0,0.0,0.0,7.48,3.17
2020-01-03 07:30:00,0.0,0.0,0.0,7.26,2.97
2020-01-03 08:30:00,0.0,0.0,0.0,7.28,2.83
2020-01-03 09:30:00,0.0,0.0,0.0,7.16,2.41
2020-01-03 10:30:00,0.0,0.0,0.0,6.99,2.28
2020-01-03 11:30:00,0.0,0.0,0.0,6.65,2.34
2020-01-03 12:30:00,0.0,0.0,0.0,6.37,2.07
2020-01-03 13:30:00,8.07,0.0,8.07,6.2,1.79
2020-01-03 14:30:00,66.55,18.82,47.730000000000004,5.94,1.52
2020-01-03 15:30:00,219.67,106.94,112.73,6.52,1.72
2020-01-03 16:30:00,392.19,247.67,144.52,7.32,2.28
2020-01-03 17:30:00,315.44,161.08,154.35999999999999,8.03,1.93
2020-01-03 18:30:00,198.18,59.84,138.35,8.45,1.72
2020-01-03 19:30:00,126.03,27.63,98.4,8.25,1.79
2020-01-03 20:30:00,85.48,23.0,62.47,8.36,1.59
2020-01-03 21:30:00,23.16,5.18,17.98,8.09,1.17
2020-01-03 22:30:00,0.0,0.0,0.0,7.43,1.1
2020-01-03 23:30:00,0.0,0.0,0.0,6.56,1.52
2020-01-04 00:30:00,0.0,0.0,0.0,6.1,2.14
2020-01-04 01:30:00,0.0,0.0,0.0,5.58,2.48
2020-01-04 02:30:00,0.0,0.0,0.0,5.04,2.62
2020-01-04 03:30:00,0.0,0.0,0.0,4.46,2.55
2020-01-04 04:30:00,0.0,0.0,0.0,3.91,2.76
2020-01-04 05:30:00,0.0,0.0,0.0,3.39,3.17
2020-01-04 06:30:00,0.0,0.0,0.0,2.69,3.17
2020-01-04 07:30:00,0.0,0.0,0.0,2.52,2.9
2020-01-04 08:30:00,0.0,0.0,0.0,2.12,2.48
2020-01-04 09:30:00,0.0,0.0,0.0,1.94,1.72
2020-01-04 10:30:00,0.0,0.0,0.0,1.84,1.93
2020-01-04 11:30:00,0.0,0.0,0.0,1.65,2.21
2020-01-04 12:30:00,0.0,0.0,0.0,1.76,2.21
2020-01-04 13:30:00,19.44,7.8,11.63,1.59,2.28
2020-01-04 14:30:00,65.55,4.15,61.39,1.53,2.28
2020-01-04 15:30:00,235.24,109.69,125.55,1.72,3.52
2020-01-04 16:30:00,196.73,58.67,138.05,2.32,3.86
2020-01-04 17:30:00,120.93,8.41,112.52,2.63,4.14
2020-01-04 18:30:00,178.0,61.62,116.36999999999999,2.48,4.0
2020-01-04 19:30:00,140.18,28.81,111.37,2.68,4.41
2020-01-04 20:30:00,93.29,29.42,63.870000000000005,2.54,4.55
2020-01-04 21:30:00,21.32,1.62,19.7,2.2,4.55
2020-01-04 22:30:00,0.0,0.0,0.0,1.84,4.76
2020-01-04 23:30:00,0.0,0.0,0.0,1.45,4.62
2020-01-05 00:30:00,0.0,0.0,0.0,1.14,4.41
2020-01-05 01:30:00,0.0,0.0,0.0,0.84,4.62
2020-01-05 02:30:00,0.0,0.0,0.0,0.56,5.17
2020-01-05 03:30:00,0.0,0.0,0.0,0.13,5.45
2020-01-05 04:30:00,0.0,0.0,0.0,-0.09,5.24
2020-01-05 05:30:00,0.0,0.0,0.0,-0.24,4.83
2020-01-05 06:30:00,0.0,0.0,0.0,-0.51,4.55
2020-01-05 07:30:00,0.0,0.0,0.0,-0.98,4.69
2020-01-05 08:30:00,0.0,0.0,0.0,-1.33,4.21
2020-01-05 09:30:00,0.0,0.0,0.0,-1.76,3.79
2020-01-05 10:30:00,0.0,0.0,0.0,-2.22,3.52
2020-01-05 11:30:00,0.0,0.0,0.0,-2.51,3.1
2020-01-05 12:30:00,0.0,0.0,0.0,-2.65,3.17
2020-01-05 13:30:00,208.01,171.53,36.48,-2.88,3.24
2020-01-05 14:30:00,518.9,419.82,99.09,-2.3,3.31
2020-01-05 15:30:00,610.63,443.03,167.60000000000002,-1.02,4.69
2020-01-05 16:30:00,592.19,376.72,215.47,-0.01,5.31
2020-01-05 17:30:00,712.28,503.5,208.78,0.69,5.17
2020-01-05 18:30:00,317.52,128.54,188.98000000000002,1.77,5.52
2020-01-05 19:30:00,401.88,233.56,168.33,2.18,5.38
2020-01-05 20:30:00,52.66,0.0,52.66,3.04,5.66
2020-01-05 21:30:00,72.8,53.26,19.54,2.94,5.1
2020-01-05 22:30:00,0.0,0.0,0.0,3.33,5.52
2020-01-05 23:30:00,0.0,0.0,0.0,3.7,6.48
2020-01-06 00:30:00,0.0,0.0,0.0,4.43,6.97
2020-01-06 01:30:00,0.0,0.0,0.0,4.47,7.1
2020-01-06 02:30:00,0.0,0.0,0.0,4.48,7.24
2020-01-06 03:30:00,0.0,0.0,0.0,4.42,7.1
2020-01-06 04:30:00,0.0,0.0,0.0,4.24,6.83
2020-01-06 05:30:00,0.0,0.0,0.0,3.97,6.9
