Latitude (decimal degrees):	41.662
Longitude (decimal degrees):	-83.612
Elevation (m):	181
Radiation database:	PVGIS-ERA5


Slope: 45 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20200101:0030,0.0,0.0,-2.32,5.45,0.0
20200101:0130,0.0,0.0,-2.39,5.66,0.0
20200101:0230,0.0,0.0,-2.45,5.52,0.0
20200101:0330,0.0,0.0,-2.36,5.52,0.0
20200101:0430,0.0,0.0,-2.41,4.97,0.0
20200101:0530,0.0,0.0,-2.65,5.17,0.0
20200101:0630,0.0,0.0,-3.16,5.03,0.0
20200101:0730,0.0,0.0,-3.37,4.97,0.0
20200101:0830,0.0,0.0,-3.12,4.41,0.0
20200101:0930,0.0,0.0,-2.91,4.41,0.0
20200101:1030,0.0,0.0,-2.93,4.69,0.0
20200101:1130,0.0,0.0,-3.3,4.55,0.0
20200101:1230,0.0,0.0,-3.28,4.48,0.0
20200101:1330,192.94,3.63,-3.4,4.28,0.0
20200101:1430,427.91,12.09,-3.09,3.93,0.0
20200101:1530,623.58,18.88,-2.15,4.83,0.0
20200101:1630,789.92,23.45,-1.14,5.38,0.0
20200101:1730,929.51,25.3,-0.08,5.59,0.0
20200101:1830,930.65,24.21,1.05,5.59,0.0
20200101:1930,795.53,20.31,2.32,5.31,0.0
20200101:2030,599.0,14.05,3.14,5.24,0.0
20200101:2130,304.61,5.98,3.38,4.62,0.0
20200101:2230,0.0,-3.39,2.64,4.21,0.0
20200101:2330,0.0,0.0,1.73,4.21,0.0
20200102:0030,0.0,0.0,1.46,4.76,0.0
20200102:0130,0.0,0.0,1.58,5.38,0.0
20200102:0230,0.0,0.0,1.82,5.86,0.0
20200102:0330,0.0,0.0,2.17,6.28,0.0
20200102:0430,0.0,0.0,2.47,6.48,0.0
20200102:0530,0.0,0.0,2.73,6.41,0.0
20200102:0630,0.0,0.0,2.82,6.41,0.0
20200102:0730,0.0,0.0,2.9,6.14,0.0
20200102:0830,0.0,0.0,2.79,6.21,0.0
20200102:0930,0.0,0.0,2.84,6.28,0.0
20200102:1030,0.0,0.0,2.8,5.86,0.0
20200102:1130,0.0,0.0,2.68,5.59,0.0
20200102:1230,0.0,0.0,2.61,5.52,0.0
20200102:1330,232.92,3.63,2.54,5.52,0.0
20200102:1430,477.88,12.1,3.14,5.59,0.0
20200102:1530,613.49,18.91,4.55,5.31,0.0
20200102:1630,495.5,23.51,6.11,5.66,0.0
20200102:1730,432.58,25.39,7.19,6.34,0.0
20200102:1830,627.63,24.31,8.01,6.48,0.0
20200102:1930,383.37,20.43,9.25,6.97,0.0
20200102:2030,200.65,14.18,9.53,6.41,0.0
20200102:2130,50.04,6.11,9.34,5.93,0.0
20200102:2230,0.0,-3.26,8.83,5.59,0.0
20200102:2330,0.0,0.0,8.32,5.31,0.0
20200103:0030,0.0,0.0,8.28,5.03,0.0
20200103:0130,0.0,0.0,8.14,4.55,0.0
20200103:0230,0.0,0.0,8.02,4.07,0.0
20200103:0330,0.0,0.0,7.89,4.14,0.0
20200103:0430,0.0,0.0,7.77,3.93,0.0
20200103:0530,0.0,0.0,7.69,3.66,0.0
20200103:0630,0.0,0.0,7.48,3.17,0.0
20200103:0730,0.0,0.0,7.26,2.97,0.0
20200103:0830,0.0,0.0,7.28,2.83,0.0
20200103:0930,0.0,0.0,7.16,2.41,0.0
