,temp_air,ghi,dni,dhi,wind_speed
2021-01-01 00:00:00,-6.27,0.0,-0.0,0.0,2.94
2021-01-01 01:00:00,-4.88,0.0,-0.0,0.0,3.14
2021-01-01 02:00:00,-3.49,0.0,-0.0,0.0,3.35
2021-01-01 03:00:00,-2.1,0.0,-0.0,0.0,3.55
2021-01-01 04:00:00,-0.71,0.0,-0.0,0.0,3.76
2021-01-01 05:00:00,0.68,0.0,-0.0,0.0,3.97
2021-01-01 06:00:00,2.07,0.0,-0.0,0.0,4.17
2021-01-01 07:00:00,3.46,0.0,-0.0,0.0,4.38
2021-01-01 08:00:00,1.32,0.0,-0.0,0.0,6.69
2021-01-01 09:00:00,0.5,0.0,-0.0,0.0,6.34
2021-01-01 10:00:00,0.0,0.0,-0.0,0.0,6.9
2021-01-01 11:00:00,-0.1,0.0,-0.0,0.0,8.28
2021-01-01 12:00:00,-0.05,0.0,-0.0,0.0,8.21
2021-01-01 13:00:00,-0.23,0.0,-0.0,0.0,7.79
2021-01-01 14:00:00,-0.64,56.6,0.0,56.6,7.38
2021-01-01 15:00:00,-0.77,159.75,83.94,137.0,6.41
2021-01-01 16:00:00,-0.65,293.4,358.81,162.05,6.9
2021-01-01 17:00:00,0.01,350.65,448.67,162.9,7.45
2021-01-01 18:00:00,0.66,255.7,239.04,154.2,6.9
2021-01-01 19:00:00,0.77,168.65,146.44,112.4,6.76
2021-01-01 20:00:00,0.42,93.95,50.88,78.7,6.21
2021-01-01 21:00:00,-0.47,42.35,64.32,30.95,5.38
2021-01-01 22:00:00,-1.65,0.3,0.0,0.3,5.31
2021-01-01 23:00:00,-2.53,0.0,-0.0,0.0,5.24
2021-01-02 00:00:00,-2.95,0.0,-0.0,0.0,4.97
2021-01-02 01:00:00,-3.07,0.0,-0.0,0.0,4.34
2021-01-02 02:00:00,-2.98,0.0,-0.0,0.0,3.79
2021-01-02 03:00:00,-2.79,0.0,-0.0,0.0,3.38
